1,s_r_300,¿En serio?
2,s_r_301,¿De verdad?
3,s_r_302,"Bueno, bueno, bueno"
?4,s_r_303,Lo siento
?5,s_r_304,Una pena
6,s_r_305,Espera un momento
7,s_r_306,Tendré que pensarlo
8,s_r_307,Eso ha dolido
9,s_r_308,Espera un momentito
10,s_r_309,Dame un momento
11,s_r_310,Me tiene frito
12,s_r_311,Me tiene harto
?13,s_r_312,Estoy frito
14,s_r_313,¡Qué aburrimiento!
15,s_r_314,¡Qué hartura!
?16,s_r_315,¡Qué tostón!
17,s_r_316,Vamos a ver...
18,s_r_317,¡Vamos a ver!
19,s_r_318,¡Qué bueno!
20,s_r_319,Esto apesta
21,s_r_320,Me temo lo peor
22,s_r_321,Deja que mire
23,s_r_322,¡Me gusta!
24,s_r_323,Estoy pensando
25,s_r_324,¡Menudo tostón!
26,s_r_325,"Dame un respiro, por favor"
27,s_r_326,¡Ay! ¡Qué sufrimiento!
28,s_r_327,Venga pedir y venga pedir
29,s_r_328,¡Esto es un no parar!
30,s_r_329,¡Bah!
31,s_r_330,¿Lo flipas?
32,s_r_331,Lo flipas
33,s_r_332,Lo estás flipando
34,s_r_333,¡A sus órdenes!
35,s_r_334,Lo que tú digas
36,s_r_335,"Sí claro, lo que tú digas"
37,s_r_336,!Uy! No sé
38,s_r_337,Pues no lo sé
39,s_r_338,"A ver , a ver"
40,s_r_339,Menuda caca de vaca malaca
41,s_r_340,Eso es una tontería
42,s_r_341,No lo entiendo
43,s_r_342,No te entiendo
44,s_r_343,Esto no tiene sentido
45,s_r_344,¡Anda ya!
?46,s_r_345,¿Tú estás bien de la cabeza?
47,s_r_346,"Uh, qué disparate"
48,s_r_347,Madre mía
49,s_r_348,¡Madre mía!
50,s_r_349,¡Vaya tela!
51,s_r_350,Vaya tela
52,s_r_351,"Bueno, a lo mejor"
53,s_r_352,Ni idea
54,s_r_353,Oye
55,s_r_354,!Oye¡
56,s_r_355,"Anda, anda"
57,s_r_356,Ah
58,s_r_357,¡Cuidado!
59,s_r_358,Pero qué me estás contando
60,s_r_359,Tú estás muy mal ¿eh?
61,s_r_360,Estoy fatal
62,s_r_361,Me duele todo
63,s_r_362,¡Ay madre! ¡Qué desesperación!
64,s_r_363,¡Ay madre! ¡Qué desesperación!
65,s_r_364,¡Hola!
66,s_r_365,¡Adiós!
67,s_r_366,¡Guau!
?68,s_r_367,¡Qué mono!
69,s_r_368,Hola
70,s_r_369,¡Uy! Que me doy
71,s_r_370,¡Ay! Que me he dado
72,s_r_371,Que me la pego
73,s_r_372,Ya verás
?74,s_r_373,A que me doy
75,s_r_374,¿Qué carajo haces?
76,s_r_375,¿Qué demonios haces?
77,s_r_376,¿Qué carajo estás haciendo?
78,s_r_377,¿Qué demonios estás haciendo?
79,s_r_378,Yuju. ¿Dónde estás? No te veo
80,s_r_379,Me estás tomando el pelo
81,s_r_380,¿Me estás tomando el pelo?
82,s_r_381,Dios mío
83,s_r_382,¡Dios mío!
84,s_r_383,"Oh, Dios, mío."
85,s_r_384,Estoy muy flojito
86,s_r_385,Necesito recargar baterías
87,s_r_386,Me voy a caer
88,s_r_387,Verás tú. Al final me caigo
89,s_r_388,Me vas a dar
90,s_r_389,Ten cuidado. ¿No me has visto?
